galaxy,tile,y0,x0,size,valid_fraction,median_wht,wht_ratio_to_outer_ring,wht_relative_mad,median_ERR,standardized_sigma,plane_0,plane_x,plane_y,accepted,selected,selection_mode
NGC 3379,y2656_x4192,2656,4192,512,0.0360107421875,650.618896484375,0.7365247744026939,0.4938595685635859,0.035768819972872734,1.155067191587374,0.5661369296412493,0.0010218112620241793,1.0623481423076825e-05,False,False,nominal_0.80
NGC 3379,y2656_x5216,2656,5216,512,0.0270233154296875,866.6297912597656,0.9810571364392913,0.005080139095649387,0.04133168235421181,1.6622094234943792,0.6604754619027539,0.0006324219250861947,-4.8552052613119e-05,False,False,nominal_0.80
NGC 3379,y2656_x5728,2656,5728,512,0.03521728515625,869.6534729003906,0.9844800564470878,0.002310982210110923,0.042209917679429054,1.8906898816079114,0.9374305269405038,0.0008708563168088786,-2.1896979399152645e-05,False,False,nominal_0.80
NGC 3379,y2656_x6240,2656,6240,512,0.003978729248046875,873.217041015625,0.9885141480117872,0.001939626434668634,0.049152474850416183,2.2496129735067374,1.3404159312694874,0.0016727079801766977,-3.690988411865862e-05,False,False,nominal_0.80
NGC 3379,y3168_x96,3168,96,512,0.8525619506835938,886.2140502929688,1.0032272456141333,0.0018366405135191554,0.03253861144185066,0.7868296834344747,0.4388535144956979,8.25229838483997e-06,-4.060360191092847e-06,True,False,nominal_0.80
NGC 3379,y3168_x608,3168,608,512,0.8162460327148438,886.1904907226562,1.0032005753048274,0.0018940763099161843,0.032821204513311386,0.8076023402894649,0.4458869057887255,2.0768169999035602e-05,-1.9470318667029066e-05,True,False,nominal_0.80
NGC 3379,y3168_x1120,3168,1120,512,0.7757759094238281,885.5567016601562,1.002483102528062,0.001894410040801681,0.03276928514242172,0.8402469227993306,0.45856522647424147,2.6374169222176594e-05,-2.1080849716959895e-05,False,False,nominal_0.80
NGC 3379,y3168_x1632,3168,1632,512,0.5912208557128906,884.2741088867188,1.0010311598344037,0.0019521107856068217,0.03267071396112442,0.9134954667958306,0.4748323153157317,3.851313610039101e-05,-4.089421552081561e-05,False,False,nominal_0.80
NGC 3379,y3168_x2144,3168,2144,512,0.607177734375,882.2234191894531,0.9987097028727171,0.002032858789865209,0.028822174295783043,0.9689988962594899,0.4530179939594862,5.25518396972958e-05,1.7026570591876292e-06,False,False,nominal_0.80
NGC 3379,y3168_x2656,3168,2656,512,0.5360794067382812,880.0548095703125,0.9962547561763704,0.002029282310103366,0.029161304235458374,1.1922091627612492,0.4359971321218305,0.0001228774751507851,0.00013866021563648914,False,False,nominal_0.80
NGC 3379,y3168_x3168,3168,3168,512,0.515472412109375,876.8453063964844,0.9926214792859792,0.002067876559294404,0.029757252894341946,1.0912499919156744,0.5056739542035941,4.4745273123624966e-05,-1.0156440612810927e-05,False,False,nominal_0.80
NGC 3379,y3168_x3680,3168,3680,512,0.4514732360839844,873.16796875,0.9884585963830776,0.0020552884163717784,0.030982941389083862,1.1867350809102029,0.5371021372148213,7.427275561095003e-05,-3.4181630259046027e-05,False,False,nominal_0.80
